id,loja,setor,data,vendas_semanais,feriado
153946,22,21,02-04,4801.43,nao
153947,22,22,02-04,786141.1696689725,nao
153948,19,10,02-04,945847.9024839771,nao
153949,14,67,02-04,14038.36,nao
153950,22,23,02-04,23370.26,nao
153951,39,98,02-04,8971.6,nao
153952,12,91,02-04,6804.54,nao
153953,21,85,02-04,699.34,nao
153954,22,24,02-04,5005.3,nao
153955,3,29,02-04,1828.57,nao
153956,12,90,02-04,10791.9,nao
153957,43,12,02-04,909712.5547762105,nao
153958,22,19,02-04,1.27,nao
153959,12,93,02-04,,nao
153960,22,18,02-04,4319.44,nao
153961,13,11,02-04,22742.95,nao
153962,22,10,02-04,19017.25,nao
153963,22,11,02-04,15406.87,nao
153964,13,10,02-04,21288.21,nao
153965,12,98,02-04,644.61,nao
153966,22,12,02-04,2509.65,nao
153967,19,12,02-04,4276.66,nao
153968,14,60,02-04,748.0,nao
153969,40,3,02-04,4927.87,nao
153970,12,97,02-04,2622.1,nao
153971,1,35,02-04,3111.97,nao
153972,43,10,02-04,850.13,nao
153973,22,14,02-04,15082.03,nao
153974,21,90,02-04,10856.57,nao
153975,3,30,02-04,1297.54,nao
153976,22,16,02-04,5216.79,nao
153977,40,2,02-04,23727.43,nao
153978,12,95,02-04,43603.59,nao
153979,22,17,02-04,13546.91,nao
153980,21,87,02-04,5573.93,nao
153981,19,11,02-04,18711.19,nao
153982,22,13,02-04,33986.17,nao
153983,13,16,02-04,2757.58,nao
153984,39,87,02-04,5933.94,nao
153985,40,11,02-04,10285.22,nao
153986,23,23,02-04,29686.24,nao
153987,18,92,02-04,49980.09,nao
153988,39,59,02-04,561.65,nao
153989,12,23,02-04,,nao
153990,23,24,02-04,909858.544422833,nao
153991,14,85,02-04,1790.87,nao
153992,21,56,02-04,27.26,nao
153993,41,2,02-04,45804.28,nao
153994,3,21,02-04,1373.46,nao
153995,12,22,02-04,12833.13,nao
153996,43,40,02-04,19775.57,nao
153997,23,25,02-04,9134.9,nao
153998,12,21,02-04,4333.56,nao
153999,23,26,02-04,10829.55,nao
154000,23,27,02-04,3480.92,nao
154001,18,91,02-04,9873.41,nao
154002,39,58,02-04,2974.0,nao
154003,12,20,02-04,7053.52,nao
154004,23,28,02-04,1018.99,nao
154005,23,22,02-04,18097.65,nao
154006,23,21,02-04,6542.94,nao
154007,12,24,02-04,10824.39,nao
154008,40,13,02-04,20569.14,nao
154009,23,14,02-04,25835.41,nao
154010,39,71,02-04,6126.42,nao
154011,3,22,02-04,5686.06,nao
154012,12,27,02-04,2692.18,nao
154013,23,16,02-04,5803.02,nao
154014,19,21,02-04,,nao
154015,12,26,02-04,14366.04,nao
154016,23,17,02-04,19579.7,nao
154017,23,18,02-04,763985.4902458083,nao
154018,12,19,02-04,2754.66,nao
154019,18,93,02-04,187.4,nao
154020,43,38,02-04,57543.85,nao
154021,23,19,02-04,1476.56,nao
154022,42,21,02-04,1498.04,nao
154023,14,83,02-04,,nao
154024,3,85,02-04,983.17,nao
154025,13,20,02-04,8595.04,nao
154026,39,67,02-04,10333.92,nao
154027,3,34,02-04,6383.91,nao
154028,23,20,02-04,8043.09,nao
154029,12,25,02-04,17503.5,nao
154030,13,19,02-04,803487.6018694359,nao
154031,4,54,02-04,92.92,nao
154032,23,29,02-04,9050.94,nao
154033,14,87,02-04,16683.87,nao
154034,39,54,02-04,16.0,nao
154035,21,52,02-04,1629.04,nao
154036,23,38,02-04,40789.48,nao
154037,12,13,02-04,51597.0,nao
154038,23,40,02-04,54888.67,nao
154039,13,22,02-04,800749.7136314887,nao
154040,23,41,02-04,560.0,nao
154041,41,3,02-04,10896.7,nao
154042,12,12,02-04,,nao
154043,23,42,02-04,7647.21,nao
154044,39,52,02-04,1528.56,nao
154045,12,11,02-04,16444.96,nao
154046,23,44,02-04,8541.17,nao
154047,18,85,02-04,898047.3827314954,nao
154048,3,19,02-04,9.3,nao
154049,42,18,02-04,138.0,nao
154050,12,10,02-04,16088.5,nao
154051,4,55,02-04,19849.51,nao
154052,18,87,02-04,18833.25,nao
154053,23,36,02-04,2441.0,nao
154054,43,46,02-04,8107.66,nao
154055,12,14,02-04,21507.01,nao
154056,21,55,02-04,6602.3,nao
154057,23,30,02-04,7582.46,nao
154058,39,56,02-04,1101.57,nao
154059,12,18,02-04,1917.59,nao
154060,23,31,02-04,3549.1,nao
154061,1,49,02-04,8956.49,nao
154062,18,90,02-04,17375.35,nao
154063,12,17,02-04,13693.47,nao
154064,23,32,02-04,7480.39,nao
154065,43,42,02-04,,nao
154066,21,54,02-04,,nao
154067,3,20,02-04,1487.74,nao
154068,23,33,02-04,8077.88,nao
154069,13,21,02-04,974790.2155520713,nao
154070,39,55,02-04,7639.58,nao
154071,23,34,02-04,,nao
154072,12,16,02-04,3941.67,nao
154073,1,18,02-04,3809.75,nao
154074,23,35,02-04,3585.25,nao
154075,40,14,02-04,9936.68,nao
154076,43,3,02-04,886613.9851552162,nao
154077,11,14,02-04,27647.99,nao
154078,18,94,02-04,7969.39,nao
154079,23,13,02-04,,nao
154080,22,91,02-04,,nao
154081,39,82,02-04,18315.04,nao
154082,21,72,02-04,40493.91,nao
154083,12,41,02-04,677.5,nao
154084,22,92,02-04,59827.53,nao
154085,19,1,02-04,18384.21,nao
154086,14,80,02-04,39606.49,nao
154087,22,93,02-04,2939.91,nao
154088,21,71,02-04,5835.52,nao
154089,13,17,02-04,16836.16,nao
154090,12,40,02-04,54940.3,nao
154091,22,94,02-04,2311.58,nao
154092,40,98,02-04,,nao
154093,39,81,02-04,21547.37,nao
154094,3,24,02-04,,nao
154095,22,95,02-04,60235.59,nao
154096,40,12,02-04,2898.74,nao
154097,12,38,02-04,48938.2,nao
154098,4,49,02-04,5771.72,nao
154099,22,90,02-04,24772.68,nao
154100,12,42,02-04,,nao
154101,22,87,02-04,15815.6,nao
154102,43,21,02-04,1552.62,nao
154103,22,74,02-04,979109.1432483336,nao
154104,19,3,02-04,15374.83,nao
154105,14,79,02-04,37969.92,nao
154106,12,52,02-04,3067.53,nao
154107,22,79,02-04,,nao
154108,12,47,02-04,-49.0,nao
154109,22,80,02-04,1573.56,nao
154110,22,81,02-04,14218.98,nao
154111,39,85,02-04,1542.93,nao
154112,18,98,02-04,9.0,nao
154113,3,25,02-04,3815.38,nao
154114,12,46,02-04,28508.26,nao
154115,22,82,02-04,15941.71,nao
154116,1,19,02-04,1273.02,nao
154117,22,83,02-04,2460.2,nao
154118,19,2,02-04,45599.75,nao
154119,19,20,02-04,5511.34,nao
154120,22,85,02-04,1755.24,nao
154121,39,83,02-04,6898.88,nao
154122,12,44,02-04,5833.3,nao
154123,21,74,02-04,9086.53,nao
154124,21,59,02-04,489.0,nao
154125,12,36,02-04,1012.35,nao
154126,43,25,02-04,45.0,nao
154127,43,28,02-04,,nao
154128,23,7,02-04,23760.91,nao
154129,12,31,02-04,4120.2,nao
154130,23,8,02-04,34087.06,nao
154131,18,95,02-04,61574.52,nao
154132,39,74,02-04,,nao
154133,23,9,02-04,,nao
154134,12,30,02-04,,nao
154135,43,31,02-04,6.4,nao
154136,23,10,02-04,26336.49,nao
154137,14,82,02-04,22102.5,nao
154138,23,11,02-04,936565.6388450597,nao
154139,39,72,02-04,55169.37,nao
154140,12,29,02-04,9321.23,nao
154141,23,12,02-04,3183.78,nao
154142,14,55,02-04,10377.9,nao
154143,12,28,02-04,977.32,nao
154144,4,52,02-04,2620.35,nao
154145,43,32,02-04,15.0,nao
154146,12,32,02-04,10536.31,nao
154147,21,60,02-04,123.2,nao
154148,41,1,02-04,20805.57,nao
154149,23,6,02-04,3940.19,nao
154150,22,98,02-04,65.96,nao
154151,39,80,02-04,12401.45,nao
154152,23,1,02-04,26869.74,nao
154153,12,35,02-04,3863.15,nao
154154,23,2,02-04,54031.36,nao
154155,21,67,02-04,2934.61,nao
154156,12,34,02-04,25229.03,nao
154157,23,3,02-04,14547.83,nao
154158,43,26,02-04,2.5,nao
154159,22,97,02-04,6252.03,nao
154160,18,97,02-04,,nao
154161,43,4,02-04,,nao
154162,39,79,02-04,,nao
154163,4,26,02-04,20453.63,nao
154164,14,81,02-04,43774.4,nao
154165,12,33,02-04,12947.8,nao
154166,23,5,02-04,34802.27,nao
154167,13,18,02-04,8688.95,nao
154168,1,48,02-04,217.0,nao
154169,3,23,02-04,12134.53,nao
154170,23,4,02-04,23085.68,nao
154171,43,98,02-04,,nao
154172,25,12,02-04,1863.59,nao
154173,11,13,02-04,43515.05,nao
154174,15,28,02-04,,nao
154175,9,91,02-04,535.37,nao
154176,27,28,02-04,691.59,nao
154177,2,81,02-04,35795.44,nao
154178,44,46,02-04,5484.57,nao
154179,27,29,02-04,7744.09,nao
154180,18,1,02-04,19052.97,nao
154181,9,90,02-04,2967.74,nao
154182,20,94,02-04,63338.51,nao
154183,27,30,02-04,3360.4,nao
154184,13,55,02-04,16536.77,nao
154185,3,97,02-04,19.32,nao
154186,38,13,02-04,10896.8,nao
154187,27,31,02-04,2498.84,nao
154188,9,87,02-04,19266.77,nao
154189,41,23,02-04,15617.25,nao
154190,27,32,02-04,4996.78,nao
154191,27,33,02-04,7376.55,nao
154192,38,12,02-04,62.01,nao
154193,27,27,02-04,1739.56,nao
154194,9,85,02-04,,nao
154195,44,44,02-04,8.0,nao
154196,38,14,02-04,1049.78,nao
154197,10,1,02-04,36145.83,nao
154198,2,82,02-04,23086.7,nao
154199,27,21,02-04,5659.2,nao
154200,19,32,02-04,6304.79,nao
154201,9,96,02-04,3785.26,nao
154202,4,92,02-04,164933.31,nao
154203,44,42,02-04,14.48,nao
154204,27,22,02-04,14405.41,nao
154205,9,95,02-04,23797.56,nao
154206,27,23,02-04,26155.87,nao
154207,20,95,02-04,163982.5,nao
154208,38,16,02-04,684.28,nao
154209,27,24,02-04,6173.19,nao
154210,18,2,02-04,64131.39,nao
154211,9,94,02-04,558.13,nao
154212,27,25,02-04,10288.62,nao
154213,42,93,02-04,33997.59,nao
154214,13,54,02-04,9.84,nao
154215,27,26,02-04,922522.1782514352,nao
154216,9,92,02-04,12979.25,nao
154217,44,52,02-04,20.69,nao
154218,17,98,02-04,73.46,nao
154219,27,34,02-04,,nao
154220,27,46,02-04,28353.09,nao
154221,42,92,02-04,,nao
154222,38,9,02-04,,nao
154223,9,71,02-04,1726.02,nao
154224,27,49,02-04,10372.12,nao
154225,13,56,02-04,384.15,nao
154226,1,72,02-04,62891.35,nao
154227,17,95,02-04,52085.11,nao
154228,42,5,02-04,1774.36,nao
154229,9,67,02-04,2732.96,nao
154230,44,59,02-04,155.18,nao
154231,15,30,02-04,3073.5,nao
154232,27,50,02-04,2693.5,nao
154233,41,24,02-04,4231.15,nao
154234,2,79,02-04,40356.92,nao
154235,27,52,02-04,1183.05,nao
154236,38,8,02-04,9911.94,nao
154237,19,33,02-04,4284.8,nao
154238,9,60,02-04,96.8,nao
154239,27,44,02-04,4431.41,nao
154240,9,72,02-04,50218.96,nao
154241,20,92,02-04,189494.49,nao
154242,27,42,02-04,,nao
154243,20,93,02-04,57653.7,nao
154244,3,42,02-04,4283.84,nao
154245,9,82,02-04,9581.54,nao
154246,27,35,02-04,1909.29,nao
154247,40,31,02-04,716.8,nao
154248,27,36,02-04,2404.5,nao
154249,38,11,02-04,912.18,nao
154250,9,81,02-04,2358.15,nao
154251,4,93,02-04,69381.84,nao
154252,38,17,02-04,416.91,nao
154253,27,37,02-04,2703.42,nao
154254,2,80,02-04,25919.96,nao
154255,27,38,02-04,39595.55,nao
154256,15,29,02-04,4443.7,nao
154257,9,79,02-04,12393.73,nao
154258,1,11,02-04,,nao
154259,27,40,02-04,881574.8274897969,nao
154260,9,74,02-04,837549.0822767594,nao
154261,27,41,02-04,1192.0,nao
154262,38,10,02-04,323.41,nao
154263,40,87,02-04,26434.73,nao
154264,15,27,02-04,,nao
154265,42,7,02-04,491.51,nao
154266,18,3,02-04,13173.08,nao
154267,10,13,02-04,66266.75,nao
154268,26,96,02-04,14079.36,nao
154269,26,97,02-04,12313.15,nao
154270,21,3,02-04,7311.38,nao
154271,38,28,02-04,129.44,nao
154272,26,98,02-04,6162.66,nao
154273,10,12,02-04,8071.33,nao
154274,27,1,02-04,27391.1,nao
154275,18,7,02-04,,nao
154276,21,2,02-04,35376.36,nao
154277,13,50,02-04,2609.0,nao
154278,10,11,02-04,34892.54,nao
154279,44,31,02-04,843230.8374678764,nao
154280,27,2,02-04,69280.06,nao
154281,2,85,02-04,3365.33,nao
154282,27,3,02-04,13114.81,nao
154283,15,25,02-04,6829.2,nao
154284,41,21,02-04,4358.72,nao
154285,10,10,02-04,43559.36,nao
154286,26,95,02-04,58797.26,nao
154287,44,28,02-04,,nao
154288,15,24,02-04,3858.63,nao
154289,10,14,02-04,45499.17,nao
154290,4,28,02-04,1039.06,nao
154291,10,19,02-04,3117.71,nao
154292,26,85,02-04,1030.28,nao
154293,26,87,02-04,24244.08,nao
154294,18,9,02-04,10395.41,nao
154295,15,23,02-04,17517.9,nao
154296,10,18,02-04,5359.14,nao
154297,26,90,02-04,,nao
154298,26,91,02-04,,nao
154299,27,4,02-04,39709.8,nao
154300,2,87,02-04,23636.93,nao
154301,10,17,02-04,30044.1,nao
154302,4,90,02-04,94975.59,nao
154303,26,92,02-04,78664.55,nao
154304,38,32,02-04,30.0,nao
154305,19,31,02-04,2615.95,nao
154306,10,16,02-04,819969.8409790808,nao
154307,26,93,02-04,,nao
154308,26,94,02-04,37461.42,nao
154309,18,8,02-04,35760.18,nao
154310,40,28,02-04,319.97,nao
154311,27,54,02-04,20.0,nao
154312,38,25,02-04,34.25,nao
154313,10,9,02-04,832081.1049728546,nao
154314,10,4,02-04,52462.09,nao
154315,1,71,02-04,2869.24,nao
154316,27,14,02-04,22628.0,nao
154317,38,20,02-04,17.68,nao
154318,20,97,02-04,28878.97,nao
154319,18,4,02-04,,nao
154320,4,36,02-04,2793.0,nao
154321,13,52,02-04,3980.37,nao
154322,10,3,02-04,31345.87,nao
154323,44,40,02-04,14802.67,nao
154324,27,16,02-04,11961.84,nao
154325,41,22,02-04,10721.1,nao
154326,27,17,02-04,15293.51,nao
154327,38,18,02-04,126.2,nao
154328,40,30,02-04,2069.83,nao
154329,10,2,02-04,113720.83,nao
154330,27,18,02-04,5651.14,nao
154331,27,19,02-04,118.18,nao
154332,27,20,02-04,8788.44,nao
154333,27,13,02-04,48336.43,nao
154334,15,26,02-04,4265.33,nao
154335,27,12,02-04,2539.65,nao
154336,10,5,02-04,55377.61,nao
154337,44,32,02-04,10.0,nao
154338,27,5,02-04,23300.67,nao
154339,18,6,02-04,4993.83,nao
154340,40,29,02-04,2979.35,nao
154341,10,8,02-04,92996.58,nao
154342,4,91,02-04,71873.91,nao
154343,27,6,02-04,3816.36,nao
154344,38,24,02-04,12.0,nao
154345,27,7,02-04,21596.1,nao
154346,21,1,02-04,10595.43,nao
154347,10,7,02-04,40527.53,nao
154348,27,9,02-04,16528.92,nao
154349,10,6,02-04,7359.78,nao
154350,44,38,02-04,51186.95,nao
154351,27,10,02-04,40140.62,nao
154352,20,98,02-04,21252.64,nao
154353,18,5,02-04,27024.85,nao
154354,2,83,02-04,6100.87,nao
154355,27,11,02-04,17548.47,nao
154356,38,21,02-04,1063.54,nao
154357,27,8,02-04,41849.16,nao
154358,9,59,02-04,158.94,nao
154359,27,55,02-04,,nao
154360,9,56,02-04,267.86,nao
154361,44,81,02-04,7113.98,nao
154362,28,12,02-04,3422.79,nao
154363,9,26,02-04,3800.03,nao
154364,28,13,02-04,889079.0842280462,nao
154365,20,80,02-04,,nao
154366,37,94,02-04,36210.02,nao
154367,28,14,02-04,22797.12,nao
154368,9,25,02-04,5444.42,nao
154369,1,10,02-04,947136.8790544698,nao
154370,28,16,02-04,3951.18,nao
154371,17,81,02-04,13987.33,nao
154372,28,17,02-04,13739.42,nao
154373,42,3,02-04,,nao
154374,15,36,02-04,1505.0,nao
154375,3,44,02-04,2051.04,nao
154376,37,93,02-04,28579.47,nao
154377,9,24,02-04,1902.16,nao
154378,28,18,02-04,990794.7585265082,nao
154379,44,82,02-04,3708.34,nao
154380,14,42,02-04,6287.65,nao
154381,28,11,02-04,853252.4902967949,nao
154382,9,27,02-04,819.25,nao
154383,37,95,02-04,56758.08,nao
154384,28,5,02-04,,nao
154385,9,30,02-04,776392.544501244,nao
154386,28,6,02-04,4100.94,nao
154387,17,83,02-04,532.61,nao
154388,1,26,02-04,7142.9,nao
154389,28,7,02-04,27460.46,nao
154390,37,96,02-04,20562.35,nao
154391,15,35,02-04,1379.88,nao
154392,4,1,02-04,34778.17,nao
154393,41,27,02-04,924505.804238163,nao
154394,9,29,02-04,1514.37,nao
154395,20,81,02-04,35413.42,nao
154396,28,9,02-04,14907.36,nao
154397,42,91,02-04,45848.97,nao
154398,2,67,02-04,10173.28,nao
154399,13,67,02-04,17055.93,nao
154400,9,28,02-04,371.0,nao
154401,4,96,02-04,35222.37,nao
154402,28,10,02-04,19195.06,nao
154403,17,82,02-04,15719.0,nao
154404,28,8,02-04,37640.0,nao
154405,44,80,02-04,4466.89,nao
154406,2,60,02-04,130.2,nao
154407,42,38,02-04,34119.84,nao
154408,19,35,02-04,2051.76,nao
154409,28,28,02-04,648.68,nao
154410,37,90,02-04,,nao
154411,9,17,02-04,4817.32,nao
154412,44,85,02-04,201.61,nao
154413,28,29,02-04,7384.63,nao
154414,1,79,02-04,42065.78,nao
154415,9,16,02-04,3839.37,nao
154416,17,74,02-04,9374.81,nao
154417,20,74,02-04,26068.67,nao
154418,28,30,02-04,5658.14,nao
154419,13,72,02-04,88389.67,nao
154420,37,87,02-04,1308.68,nao
154421,28,31,02-04,1941.25,nao
154422,9,14,02-04,6763.61,nao
154423,28,32,02-04,978739.4847594376,nao
154424,15,40,02-04,28694.46,nao
154425,41,28,02-04,957117.4818126987,nao
154426,40,34,02-04,4160.12,nao
154427,28,27,02-04,2022.8,nao
154428,9,18,02-04,2879.67,nao
154429,28,26,02-04,15061.87,nao
154430,2,59,02-04,681.1,nao
154431,9,23,02-04,827951.0804712696,nao
154432,28,20,02-04,7586.77,nao
154433,17,80,02-04,1041.28,nao
154434,37,92,02-04,76504.65,nao
154435,28,21,02-04,5355.53,nao
154436,9,22,02-04,3804.66,nao
154437,4,35,02-04,3436.4,nao
154438,28,22,02-04,17448.8,nao
154439,9,21,02-04,,nao
154440,28,19,02-04,800577.3902783983,nao
154441,44,83,02-04,,nao
154442,9,20,02-04,2135.12,nao
154443,20,79,02-04,,nao
154444,13,71,02-04,13885.92,nao
154445,37,91,02-04,791647.2847092677,nao
154446,28,25,02-04,15260.97,nao
154447,17,79,02-04,27827.88,nao
154448,15,38,02-04,992948.8088291101,nao
154449,9,19,02-04,1263.75,nao
154450,4,97,02-04,40054.13,nao
154451,28,23,02-04,760317.1356350037,nao
154452,38,38,02-04,50388.74,nao
154453,9,31,02-04,1471.26,nao
154454,28,4,02-04,31190.71,nao
154455,27,74,02-04,,nao
154456,27,79,02-04,833413.3922678647,nao
154457,38,5,02-04,851069.5784794095,nao
154458,9,46,02-04,7556.01,nao
154459,27,80,02-04,28404.48,nao
154460,27,81,02-04,31721.58,nao
154461,41,25,02-04,6795.75,nao
154462,14,44,02-04,4529.49,nao
154463,20,87,02-04,59534.5,nao
154464,38,4,02-04,,nao
154465,13,59,02-04,,nao
154466,9,44,02-04,2766.02,nao
154467,44,72,02-04,118.99,nao
154468,27,82,02-04,18250.78,nao
154469,40,32,02-04,3022.7,nao
154470,17,91,02-04,15685.05,nao
154471,9,42,02-04,2414.3,nao
154472,4,21,02-04,8838.61,nao
154473,15,32,02-04,3598.97,nao
154474,17,92,02-04,53240.93,nao
154475,9,47,02-04,-36.0,nao
154476,2,74,02-04,17188.71,nao
154477,27,72,02-04,73854.34,nao
154478,44,60,02-04,316.8,nao
154479,27,56,02-04,1243.24,nao
154480,38,7,02-04,211.12,nao
154481,27,58,02-04,1126.0,nao
154482,9,55,02-04,8583.12,nao
154483,17,93,02-04,3838.5,nao
154484,9,54,02-04,51.84,nao
154485,4,94,02-04,62840.3,nao
154486,27,59,02-04,625.65,nao
154487,27,83,02-04,9535.67,nao
154488,27,60,02-04,105.6,nao
154489,15,31,02-04,1468.6,nao
154490,27,67,02-04,10964.95,nao
154491,1,32,02-04,7118.97,nao
154492,38,6,02-04,18.62,nao
154493,9,52,02-04,1297.71,nao
154494,20,90,02-04,110802.21,nao
154495,27,71,02-04,9402.5,nao
154496,13,58,02-04,6502.0,nao
154497,44,67,02-04,897286.2155461904,nao
154498,20,91,02-04,99633.26,nao
154499,40,33,02-04,1731.36,nao
154500,27,85,02-04,2753.9,nao
154501,27,87,02-04,13641.18,nao
154502,20,82,02-04,,nao
154503,9,34,02-04,5679.19,nao
154504,44,79,02-04,4585.88,nao
154505,27,97,02-04,23252.24,nao
154506,13,60,02-04,,nao
154507,27,98,02-04,10901.11,nao
154508,42,4,02-04,,nao
154509,15,34,02-04,10062.36,nao
154510,37,98,02-04,6155.98,nao
154511,2,71,02-04,,nao
154512,9,33,02-04,2106.46,nao
154513,28,1,02-04,19907.91,nao
154514,19,34,02-04,12885.34,nao
154515,17,85,02-04,3592.21,nao
154516,28,2,02-04,63390.24,nao
154517,9,32,02-04,2990.58,nao
154518,28,3,02-04,11793.37,nao
154519,37,97,02-04,16605.04,nao
154520,41,26,02-04,5581.4,nao
154521,1,74,02-04,10837.23,nao
154522,15,33,02-04,3332.61,nao
154523,17,87,02-04,,nao
154524,27,96,02-04,16789.04,nao
154525,9,41,02-04,795.0,nao
154526,2,72,02-04,105790.7,nao
154527,27,90,02-04,107526.22,nao
154528,3,74,02-04,2926.21,nao
154529,20,85,02-04,969269.9894146003,nao
154530,9,40,02-04,803085.6962913747,nao
154531,44,74,02-04,310.8,nao
154532,27,91,02-04,81918.19,nao
154533,17,90,02-04,32832.22,nao
154534,38,3,02-04,485.09,nao
154535,9,38,02-04,83428.18,nao
154536,27,92,02-04,156314.38,nao
154537,38,2,02-04,11028.45,nao
154538,27,93,02-04,59536.22,nao
154539,9,36,02-04,1000.5,nao
154540,20,83,02-04,6950.43,nao
154541,27,94,02-04,73901.25,nao
154542,27,95,02-04,118492.13,nao
154543,38,1,02-04,7618.97,nao
154544,9,35,02-04,1226.0,nao
154545,4,95,02-04,139320.75,nao
154546,9,13,02-04,21117.45,nao
154547,26,83,02-04,864511.7799462078,nao
154548,3,96,02-04,4063.37,nao
154549,25,59,02-04,472.52,nao
154550,21,18,02-04,1375.94,nao
154551,25,60,02-04,132.0,nao
154552,25,67,02-04,9510.82,nao
154553,40,24,02-04,2182.93,nao
154554,38,95,02-04,41886.73,nao
154555,10,85,02-04,2203.02,nao
154556,44,7,02-04,223.29,nao
154557,25,71,02-04,2922.94,nao
154558,10,83,02-04,424.48,nao
154559,18,27,02-04,3218.0,nao
154560,15,12,02-04,829787.9949594706,nao
154561,25,72,02-04,49013.33,nao
154562,2,98,02-04,12539.44,nao
154563,25,74,02-04,9846.7,nao
154564,19,28,02-04,896.97,nao
154565,38,94,02-04,979427.1167748276,nao
154566,1,33,02-04,7065.8,nao
154567,10,82,02-04,22810.15,nao
154568,10,87,02-04,25638.03,nao
154569,25,79,02-04,8248.56,nao
154570,42,11,02-04,873338.7330849806,nao
154571,38,96,02-04,9867.02,nao
154572,25,49,02-04,9659.22,nao
154573,42,32,02-04,10.0,nao
154574,18,29,02-04,11241.31,nao
154575,15,11,02-04,10199.3,nao
154576,10,92,02-04,53365.58,nao
154577,4,80,02-04,18867.6,nao
154578,25,50,02-04,,nao
154579,25,52,02-04,,nao
154580,38,97,02-04,853296.0481281213,nao
154581,21,19,02-04,1282.98,nao
154582,10,91,02-04,13774.92,nao
154583,13,37,02-04,3327.67,nao
154584,44,6,02-04,9.88,nao
154585,41,13,02-04,32395.93,nao
154586,25,54,02-04,10.0,nao
154587,25,55,02-04,4923.79,nao
154588,10,90,02-04,,nao
154589,25,56,02-04,274.11,nao
154590,18,28,02-04,1502.6,nao
154591,25,58,02-04,,nao
154592,10,81,02-04,,nao
154593,44,8,02-04,5120.68,nao
154594,25,80,02-04,23.88,nao
154595,44,9,02-04,104.14,nao
154596,25,91,02-04,8576.5,nao
154597,25,92,02-04,38867.16,nao
154598,38,91,02-04,917087.6856114864,nao
154599,10,71,02-04,,nao
154600,25,93,02-04,596.24,nao
154601,21,14,02-04,15107.63,nao
154602,40,25,02-04,4540.94,nao
154603,18,24,02-04,6853.87,nao
154604,25,94,02-04,0.28,nao
154605,4,23,02-04,47497.84,nao
154606,15,14,02-04,13431.31,nao
154607,10,67,02-04,13807.47,nao
154608,25,95,02-04,42424.56,nao
154609,38,90,02-04,37121.5,nao
154610,25,97,02-04,2741.83,nao
154611,10,60,02-04,726.8,nao
154612,44,10,02-04,152.18,nao
154613,25,98,02-04,112.75,nao
154614,10,72,02-04,,nao
154615,2,97,02-04,45048.4,nao
154616,1,59,02-04,370.98,nao
154617,25,90,02-04,789065.342406133,nao
154618,25,81,02-04,800454.0137517623,nao
154619,21,17,02-04,6075.0,nao
154620,42,96,02-04,13804.01,nao
154621,18,26,02-04,13218.11,nao
154622,38,93,02-04,21622.74,nao
154623,10,80,02-04,121.44,nao
154624,13,38,02-04,89661.21,nao
154625,25,82,02-04,,nao
154626,15,13,02-04,15617.95,nao
154627,10,93,02-04,1813.5,nao
154628,10,79,02-04,43714.11,nao
154629,4,81,02-04,31772.71,nao
154630,25,83,02-04,559.22,nao
154631,25,85,02-04,,nao
154632,25,87,02-04,6016.41,nao
154633,18,25,02-04,19753.85,nao
154634,21,16,02-04,1790.45,nao
154635,38,92,02-04,53496.79,nao
154636,13,40,02-04,82996.58,nao
154637,10,74,02-04,46575.26,nao
154638,41,14,02-04,14290.46,nao
154639,14,50,02-04,1717.0,nao
154640,3,1,02-04,7522.25,nao
154641,38,98,02-04,4762.34,nao
154642,25,23,02-04,9803.93,nao
154643,39,6,02-04,2229.83,nao
154644,11,8,02-04,36957.3,nao
154645,25,24,02-04,1831.92,nao
154646,42,97,02-04,19019.27,nao
154647,13,35,02-04,,nao
154648,25,25,02-04,4677.85,nao
154649,11,7,02-04,23525.37,nao
154650,25,26,02-04,,nao
154651,39,5,02-04,20135.79,nao
154652,1,14,02-04,,nao
154653,44,2,02-04,8752.5,nao
154654,3,3,02-04,,nao
154655,25,27,02-04,826644.9119338085,nao
154656,18,33,02-04,8751.03,nao
154657,42,12,02-04,108.48,nao
154658,15,9,02-04,7574.21,nao
154659,11,6,02-04,5866.02,nao
154660,21,22,02-04,9629.49,nao
154661,18,34,02-04,15478.05,nao
154662,25,22,02-04,6123.99,nao
154663,11,9,02-04,,nao
154664,21,23,02-04,29586.48,nao
154665,25,13,02-04,,nao
154666,25,14,02-04,9848.96,nao
154667,41,11,02-04,16889.01,nao
154668,39,8,02-04,35787.2,nao
154669,11,12,02-04,4333.09,nao
154670,4,74,02-04,21461.67,nao
154671,25,16,02-04,6152.13,nao
154672,21,24,02-04,5759.41,nao
154673,25,17,02-04,8776.15,nao
154674,25,28,02-04,563.85,nao
154675,18,35,02-04,,nao
154676,11,11,02-04,15403.59,nao
154677,15,8,02-04,,nao
154678,25,18,02-04,1681.21,nao
154679,11,10,02-04,29025.5,nao
154680,25,20,02-04,4157.69,nao
154681,39,7,02-04,21040.34,nao
154682,44,1,02-04,7198.61,nao
154683,1,24,02-04,9819.74,nao
154684,25,21,02-04,5797.37,nao
154685,3,4,02-04,8826.31,nao
154686,21,13,02-04,21627.25,nao
154687,13,36,02-04,2073.0,nao
154688,25,29,02-04,3857.92,nao
154689,39,2,02-04,60345.46,nao
154690,3,92,02-04,7180.42,nao
154691,25,37,02-04,2596.89,nao
154692,21,21,02-04,2159.24,nao
154693,10,97,02-04,5876.76,nao
